strategy,solver_window_ms,user_decision_timeout_ms,time_to_deadline_ms,time_in_force,max_slippage_bps,max_gas_cost_usd,max_hops,has_whitelist,has_blacklist,has_limit_price,optimization_goal,surplus_weight,gas_cost_weight,execution_speed_weight,reputation_weight,require_simulation,input_count,output_count,input_asset_types,output_asset_types,input_value_usd,expected_output_value_usd,benchmark_source,benchmark_confidence,expected_gas_usd,expected_slippage_bps,has_nlp_input,nlp_confidence,client_platform,tag_count,actual_surplus_usd,actual_surplus_pct,actual_price_impact,primary_category,detected_priority,complexity_level,risk_level,gt_weight_surplus_usd,gt_weight_surplus_percentage,gt_weight_gas_cost,gt_weight_protocol_fees,gt_weight_total_hops,gt_weight_protocols_count,gt_weight_estimated_execution_time,gt_weight_solver_reputation_score,gt_weight_solver_success_rate
Gas-Optimized,30139,183726,4618058,immediate,67,2.296263484508453,2,True,False,True,minimize_gas,18.07,60.31,14.01,7.61,False,1,1,volatile,volatile,194.04,188.7,internal,0.819,1.28,39,False,0.768,mobile,0,0.24,0.1245,0.68,limit_order,cost,moderate,medium,0.0954,0.1193,0.2927,0.1202,0.0936,0.0781,0.0597,0.0679,0.0731
Reputation-Trust,19909,125097,199398,immediate,51,2.7148768335644973,3,True,False,False,balanced,25.78,23.37,7.32,43.53,True,1,2,stable,"stable,volatile",9018.55,8961.59,dexscreener,0.926,1.05,59,False,0.846,mobile,5,3.13,0.0347,0.51,complex_defi,output,moderate,high,0.146,0.1178,0.1049,0.0767,0.0478,0.0547,0.0982,0.2019,0.152
Surplus-First,13293,106461,1533732,good_til_cancel,84,2.8707232415335238,3,True,True,False,maximize_output,76.83,6.71,5.18,11.28,True,2,2,volatile,volatile,41111.12,41463.71,internal,0.919,2.16,33,True,0.798,api,3,25.94,0.0631,0.3,complex_defi,output,complex,high,0.2913,0.2464,0.0859,0.0434,0.0242,0.0203,0.0633,0.1329,0.0923
Gas-Optimized,17289,174981,1065043,immediate,55,2.3333602618466043,3,True,True,True,minimize_gas,17.8,58.78,6.74,16.68,False,1,1,volatile,native,867.58,846.35,dexscreener,0.942,1.28,28,True,0.755,web,1,1.07,0.1231,0.64,limit_order,cost,moderate,medium,0.1346,0.1158,0.2926,0.0939,0.117,0.0522,0.0476,0.0663,0.08
Reputation-Trust,10964,156102,1115359,good_til_cancel,64,2.7516897298549727,4,False,False,False,maximize_output,32.01,24.32,3.24,40.43,True,2,2,native,native,664.71,663.34,coingecko,0.956,2.45,40,False,0.801,api,6,1.26,0.1891,0.85,complex_defi,output,moderate,medium,0.1655,0.111,0.1426,0.0418,0.0442,0.05,0.0772,0.1876,0.1801
Gas-Optimized,31461,261804,4704156,immediate,79,2.042016697856138,2,False,False,True,minimize_gas,19.69,64.26,9.06,6.99,True,1,1,native,native,378.96,376.68,internal,0.867,0.96,50,True,0.88,mobile,2,0.46,0.1204,0.58,limit_order,cost,simple,medium,0.1368,0.1058,0.3106,0.0997,0.1115,0.0743,0.029,0.0637,0.0686
Reputation-Trust,8601,150459,1020720,fill_or_kill,75,2.4382555530926355,3,False,False,True,balanced,28.55,24.93,-5.25,51.77,True,1,1,native,native,5945.05,5868.93,coingecko,0.932,2.09,62,True,0.818,mobile,4,5.34,0.0898,0.43,limit_order,output,simple,high,0.1184,0.092,0.1427,0.0861,0.0493,0.0539,0.0951,0.2107,0.1518
Reputation-Trust,13400,86722,860785,good_til_cancel,61,2.611493896404215,2,True,False,True,maximize_output,21.6,16.74,25.73,35.93,True,1,1,stable,"stable,volatile",6038.98,5976.61,dexscreener,0.882,1.36,41,False,0.928,web,6,9.61,0.1591,0.59,limit_order,speed,moderate,high,0.1476,0.1063,0.1295,0.0865,0.0414,0.0593,0.073,0.2205,0.1359
Gas-Optimized,26336,385940,750147,immediate,65,2.057211130422985,2,False,False,True,minimize_gas,26.79,62.57,14.75,-4.11,True,1,1,stable,native,941.35,929.17,coingecko,0.808,0.69,35,True,0.828,web,0,1.07,0.114,0.85,limit_order,cost,simple,medium,0.1002,0.1309,0.275,0.1397,0.1273,0.0628,0.0418,0.0495,0.0728
Gas-Optimized,25938,147596,1799525,good_til_cancel,66,2.3829578277706105,3,True,False,True,minimize_gas,21.28,69.41,8.83,0.47,True,1,1,volatile,native,599.66,598.52,dexscreener,0.866,1.67,36,False,0.897,web,1,0.57,0.0948,0.58,limit_order,cost,moderate,medium,0.1382,0.1028,0.3184,0.0938,0.1103,0.0528,0.0446,0.0633,0.0758
Reputation-Trust,14683,97459,377380,immediate,64,2.4765990137207647,3,True,False,True,maximize_output,32.92,16.42,9.39,41.27,True,1,2,"native,stable",native,8679.52,8690.88,internal,0.929,1.84,29,True,0.892,api,5,15.19,0.175,0.71,complex_defi,output,moderate,high,0.1436,0.1427,0.087,0.0727,0.065,0.0542,0.0734,0.1675,0.1939
Surplus-First,21933,134727,1179083,immediate,66,2.667147314611149,4,True,True,True,maximize_output,63.53,11.7,5.43,19.34,True,1,1,"stable,volatile",stable,23983.44,23571.75,coingecko,0.944,2.39,50,False,0.75,api,1,58.7,0.2447,0.46,limit_order,output,complex,high,0.2491,0.2624,0.0896,0.0468,0.0255,0.0327,0.0711,0.1364,0.0864
Surplus-First,17540,232534,1175801,good_til_cancel,69,2.5816444546888904,4,True,True,False,maximize_output,66.97,5.69,13.71,13.63,True,1,2,stable,"stable,volatile",6802.52,6673.38,internal,0.961,1.81,33,False,0.81,mobile,1,16.51,0.2427,0.6,complex_defi,output,complex,high,0.2403,0.2719,0.069,0.0539,0.0325,0.0228,0.0554,0.1335,0.1207
Surplus-First,16132,132084,1473795,immediate,59,2.517324721865753,3,False,False,False,maximize_output,73.66,6.73,7.15,12.46,False,1,1,native,"stable,volatile",1959.37,1930.94,coingecko,0.934,2.7,45,True,0.947,api,3,3.65,0.1861,0.54,swap,output,simple,medium,0.3192,0.234,0.0649,0.0365,0.0276,0.0248,0.0886,0.1258,0.0786
Surplus-First,20507,218128,3216267,good_til_cancel,80,2.6570916405977205,4,False,False,False,maximize_output,77.19,14.74,6.36,1.71,True,2,2,native,"stable,volatile",40866.04,40645.38,internal,0.876,3.0,41,True,0.938,telegram,5,41.85,0.1024,0.7,complex_defi,output,moderate,high,0.3264,0.2028,0.0906,0.0684,0.0394,0.0237,0.0639,0.0958,0.089
Reputation-Trust,13134,95171,493594,fill_or_kill,48,2.5358478694616173,2,True,True,True,balanced,30.41,23.65,-8.19,54.13,True,3,2,volatile,volatile,4280.15,4209.88,coingecko,0.963,1.8,35,True,0.846,mobile,6,8.36,0.1954,0.71,complex_defi,output,complex,medium,0.1059,0.1271,0.1276,0.0544,0.0377,0.0399,0.1112,0.1953,0.2009
Gas-Optimized,16437,248480,2132412,good_til_cancel,61,2.4327827940994244,3,False,False,True,minimize_gas,28.58,66.14,12.72,-7.44,True,1,1,stable,stable,786.95,767.5,dexscreener,0.884,1.16,43,False,0.753,telegram,0,0.59,0.0744,0.42,limit_order,cost,simple,medium,0.1235,0.1181,0.2804,0.0978,0.1293,0.0761,0.0491,0.0689,0.0568
Gas-Optimized,32526,306296,2033027,good_til_cancel,40,2.2429426193178883,2,True,True,True,minimize_gas,18.75,68.77,9.33,3.15,False,1,1,volatile,volatile,358.34,352.18,internal,0.819,1.64,23,False,0.859,web,1,0.47,0.1323,0.89,limit_order,cost,moderate,medium,0.1374,0.0874,0.3429,0.0952,0.1314,0.0531,0.0605,0.0456,0.0465
Gas-Optimized,41146,208245,5618604,good_til_cancel,62,2.051784502669264,3,True,True,False,minimize_gas,22.27,67.26,11.94,-1.47,True,1,1,native,stable,862.3,842.39,coingecko,0.936,1.92,36,True,0.787,api,1,0.36,0.0413,0.62,swap,cost,moderate,medium,0.1111,0.0813,0.3046,0.1174,0.0924,0.0817,0.0537,0.0743,0.0835
Surplus-First,18889,73915,2250187,good_til_cancel,54,2.6943225736184897,4,False,True,True,maximize_output,60.87,6.7,7.84,24.59,False,2,1,"stable,volatile",stable,33344.65,33883.33,dexscreener,0.963,2.3,41,True,0.825,telegram,4,93.89,0.2816,0.31,swap,output,moderate,high,0.3128,0.2107,0.0681,0.0614,0.0188,0.037,0.0619,0.0925,0.1368
Gas-Optimized,19902,183433,1283125,good_til_cancel,53,2.294283175403695,3,False,True,True,minimize_gas,28.85,54.97,12.12,4.06,False,1,1,volatile,volatile,994.74,980.79,internal,0.894,1.54,21,False,0.841,web,1,0.71,0.0709,0.49,limit_order,cost,moderate,medium,0.1328,0.0737,0.3328,0.1046,0.0944,0.0683,0.0626,0.0735,0.0573
Surplus-First,10771,202278,1420867,good_til_cancel,68,2.6784426808992783,3,False,False,False,maximize_output,65.05,8.37,7.96,18.62,True,1,2,stable,"stable,volatile",34476.19,34129.53,coingecko,0.92,1.69,39,False,0.808,api,2,101.0,0.293,0.64,complex_defi,output,moderate,high,0.2652,0.273,0.0886,0.0644,0.0345,0.0326,0.052,0.1025,0.0872
Surplus-First,19310,126059,3335558,good_til_cancel,71,2.540750993723942,3,False,False,False,maximize_output,61.32,5.95,11.78,20.95,True,1,2,"native,stable","stable,volatile",32541.62,32728.4,dexscreener,0.956,2.51,77,True,0.862,telegram,4,45.71,0.1405,0.48,complex_defi,output,moderate,high,0.2756,0.2278,0.1002,0.0559,0.0276,0.0248,0.0554,0.1431,0.0896
Gas-Optimized,41420,357523,3144332,immediate,59,2.4867771571337225,2,False,False,False,minimize_gas,21.19,50.3,14.33,14.18,True,1,1,native,stable,247.31,242.93,internal,0.932,1.63,55,True,0.911,mobile,0,0.16,0.0637,0.78,swap,cost,simple,medium,0.1456,0.1063,0.326,0.0983,0.0851,0.0776,0.0268,0.0608,0.0735
Gas-Optimized,43776,374163,5427090,good_til_cancel,47,2.3514340473773574,2,False,True,False,minimize_gas,29.61,51.59,7.63,11.16,True,1,1,stable,native,532.21,529.76,dexscreener,0.845,1.12,60,False,0.787,telegram,2,0.62,0.1156,0.72,swap,cost,moderate,medium,0.1338,0.1298,0.2857,0.1409,0.0743,0.0467,0.0415,0.0761,0.0712
Gas-Optimized,43577,317217,1255347,immediate,62,2.4105471093675552,3,False,False,True,minimize_gas,28.64,57.01,13.87,0.48,False,1,1,native,stable,405.33,398.21,dexscreener,0.825,1.99,29,False,0.76,mobile,2,0.09,0.0231,0.64,limit_order,cost,simple,medium,0.1486,0.1017,0.3284,0.1113,0.0758,0.0688,0.0328,0.0652,0.0674
Surplus-First,27801,295906,2672191,immediate,53,2.877667586673451,4,True,False,True,maximize_output,75.73,10.8,8.73,4.73,False,2,1,stable,stable,45389.01,44971.75,internal,0.864,2.39,48,False,0.873,web,0,106.72,0.2351,0.64,swap,output,moderate,high,0.2921,0.2296,0.0713,0.0715,0.022,0.0427,0.0748,0.0829,0.1131
Gas-Optimized,40234,181338,1210298,good_til_cancel,60,2.283933518074193,3,False,False,True,minimize_gas,25.99,61.39,10.23,2.4,False,1,1,volatile,volatile,301.66,299.15,dexscreener,0.93,1.93,28,True,0.895,web,1,0.32,0.1061,0.73,limit_order,cost,simple,medium,0.149,0.102,0.3091,0.1177,0.0841,0.0473,0.0621,0.056,0.0727
Surplus-First,10183,141747,3242155,good_til_cancel,62,2.847022585920423,4,False,True,True,maximize_output,63.58,9.7,14.93,11.78,False,1,1,native,volatile,16225.56,16124.93,coingecko,0.971,1.91,57,False,0.792,telegram,2,30.87,0.1903,0.62,limit_order,output,moderate,high,0.2744,0.263,0.0559,0.0414,0.0257,0.0374,0.0571,0.1182,0.1269
Surplus-First,27149,293286,2858821,good_til_cancel,65,2.7362257861743227,3,False,True,False,maximize_output,75.01,7.79,10.17,7.02,True,2,2,"native,stable","stable,volatile",43037.86,43165.19,dexscreener,0.905,2.94,48,False,0.742,api,5,105.98,0.2463,0.43,complex_defi,output,moderate,high,0.3017,0.2486,0.0758,0.0606,0.0277,0.0406,0.0495,0.1098,0.0857
Reputation-Trust,11133,158798,1189540,fill_or_kill,68,2.703074356643272,2,True,True,True,maximize_output,27.28,23.85,-2.86,51.73,True,1,1,"stable,volatile,native",native,8628.06,8714.01,dexscreener,0.948,1.19,25,True,0.886,telegram,2,4.07,0.0471,0.41,limit_order,output,moderate,high,0.139,0.1253,0.1153,0.0688,0.0499,0.0572,0.1002,0.1667,0.1776
Surplus-First,22232,126492,3434472,good_til_cancel,72,2.894260008139758,4,True,True,False,maximize_output,77.47,5.44,8.87,8.23,True,1,2,"native,stable",native,1506.55,1525.44,coingecko,0.958,2.53,74,False,0.858,mobile,0,3.45,0.229,0.77,complex_defi,output,complex,high,0.2495,0.2166,0.0881,0.0731,0.029,0.0288,0.0688,0.1348,0.1113
Reputation-Trust,10228,174123,1091161,immediate,51,2.7957456466162443,2,True,False,False,balanced,29.01,18.13,2.52,50.34,True,3,1,"stable,volatile",volatile,7288.63,7371.23,internal,0.93,1.27,46,True,0.816,api,2,11.08,0.152,0.76,complex_defi,output,moderate,high,0.1553,0.1366,0.0907,0.0765,0.0551,0.0323,0.0822,0.2379,0.1334
Surplus-First,14693,142938,3301731,good_til_cancel,99,2.540405733464586,4,True,False,True,maximize_output,79.74,13.93,14.87,-8.54,True,2,2,volatile,volatile,17462.16,17515.44,coingecko,0.914,2.65,35,True,0.854,telegram,3,27.46,0.1573,0.54,complex_defi,output,complex,high,0.2516,0.2545,0.0869,0.0779,0.047,0.0429,0.0769,0.0816,0.0807
Gas-Optimized,44442,158494,4822306,good_til_cancel,66,2.167732573622226,2,True,False,False,minimize_gas,20.59,52.06,6.94,20.4,True,1,1,stable,volatile,710.68,717.34,coingecko,0.852,1.69,34,False,0.828,telegram,3,0.98,0.1374,0.46,swap,cost,moderate,medium,0.1372,0.0857,0.2948,0.0978,0.0877,0.0767,0.0488,0.0904,0.0809
Surplus-First,29577,75063,3544749,good_til_cancel,90,2.747184188809141,3,True,False,True,maximize_output,68.01,11.56,7.86,12.56,True,1,1,stable,native,46568.91,46083.21,coingecko,0.977,1.63,47,False,0.788,telegram,3,91.52,0.1965,0.56,limit_order,output,moderate,high,0.3126,0.1997,0.0526,0.0427,0.0433,0.0458,0.0651,0.1423,0.0959
Surplus-First,23395,152697,3008650,good_til_cancel,79,2.8835242996894097,3,True,True,False,maximize_output,60.11,14.4,5.55,19.93,False,2,1,native,"stable,volatile",38253.41,38698.56,dexscreener,0.923,2.61,43,False,0.914,web,0,42.38,0.1108,0.46,complex_defi,output,complex,high,0.2921,0.22,0.0828,0.0656,0.0369,0.0269,0.0831,0.1099,0.0827
Surplus-First,18623,261486,973572,good_til_cancel,85,2.885404452172976,4,False,False,True,maximize_output,60.96,9.58,14.91,14.55,False,1,2,native,volatile,22577.35,22411.66,dexscreener,0.863,2.58,70,False,0.778,telegram,5,21.8,0.0965,0.49,complex_defi,output,moderate,high,0.2602,0.2547,0.0635,0.0661,0.0441,0.0401,0.0922,0.0965,0.0826
Reputation-Trust,16231,132630,470114,fill_or_kill,56,2.7090649881523468,3,False,False,False,balanced,29.75,29.11,-7.55,48.68,True,1,2,"stable,volatile","stable,volatile",6210.1,6177.17,coingecko,0.908,1.4,34,True,0.953,telegram,4,6.8,0.1094,0.39,complex_defi,output,moderate,high,0.1456,0.1112,0.1075,0.048,0.0609,0.0593,0.109,0.1743,0.1842
Reputation-Trust,10983,130077,929054,fill_or_kill,72,2.647323980218031,3,False,True,True,maximize_output,33.89,17.94,-3.7,51.88,True,1,1,stable,native,6859.56,6918.28,coingecko,0.94,1.83,57,True,0.935,telegram,6,3.31,0.0483,0.73,limit_order,output,moderate,high,0.1609,0.0885,0.1048,0.0444,0.0396,0.0283,0.1131,0.2251,0.1953
Surplus-First,12951,264348,2446247,good_til_cancel,96,2.8617881242233905,4,True,False,False,maximize_output,76.7,11.69,6.49,5.11,False,2,1,stable,volatile,45390.56,46069.86,dexscreener,0.897,2.52,57,True,0.724,web,0,119.38,0.263,0.63,swap,output,moderate,high,0.2694,0.2757,0.0931,0.0414,0.04,0.0297,0.064,0.0838,0.1029
Surplus-First,18212,237671,3469120,good_til_cancel,90,2.548581964907809,3,False,False,True,maximize_output,72.14,8.52,11.37,7.97,False,1,1,native,native,40043.58,40439.98,coingecko,0.876,2.68,53,False,0.908,api,3,116.87,0.2918,0.45,limit_order,output,simple,high,0.3028,0.252,0.066,0.0303,0.0383,0.0241,0.0753,0.1143,0.0969
Surplus-First,29167,103708,2918357,immediate,86,2.71576539581788,3,False,False,True,maximize_output,69.03,9.67,6.56,14.74,False,1,2,"native,stable",stable,37667.45,37060.22,coingecko,0.877,1.67,48,True,0.916,telegram,4,57.3,0.1521,0.68,complex_defi,output,moderate,high,0.273,0.2431,0.0617,0.045,0.0217,0.0435,0.0917,0.1247,0.0956
Reputation-Trust,9930,81957,943795,good_til_cancel,73,2.490260358111076,2,True,True,True,balanced,34.46,26.64,-15.16,54.06,True,1,2,"stable,volatile",native,1758.55,1771.86,internal,0.917,1.21,44,True,0.854,telegram,4,0.59,0.0334,0.64,complex_defi,output,moderate,medium,0.1428,0.1315,0.1329,0.0573,0.0466,0.0444,0.0848,0.188,0.1717
Surplus-First,25017,222833,2661366,good_til_cancel,54,2.7688172020508137,4,True,False,True,maximize_output,66.32,12.52,5.73,15.43,True,2,2,volatile,"stable,volatile",15349.86,15554.77,internal,0.889,2.98,71,True,0.867,api,5,11.65,0.0759,0.74,complex_defi,output,complex,high,0.2559,0.2676,0.0807,0.035,0.0263,0.0244,0.0622,0.1186,0.1293
Surplus-First,15233,273248,1673365,immediate,62,2.8815606875693143,4,False,False,False,maximize_output,67.68,11.15,7.48,13.68,False,1,1,"stable,volatile","stable,volatile",14865.49,15143.0,coingecko,0.926,1.57,48,False,0.849,telegram,2,27.38,0.1842,0.72,swap,output,moderate,high,0.269,0.2645,0.0793,0.0626,0.0284,0.0294,0.072,0.0859,0.1089
Gas-Optimized,33243,318017,4218342,immediate,66,2.0250011731940303,3,True,True,True,minimize_gas,26.78,67.3,12.41,-6.49,False,1,1,native,native,406.29,408.16,internal,0.913,1.01,21,False,0.883,telegram,2,0.59,0.1454,0.52,limit_order,cost,moderate,medium,0.1278,0.1116,0.3118,0.1087,0.1227,0.0573,0.0457,0.0629,0.0515
Surplus-First,20422,178687,1440665,good_til_cancel,54,2.971777343015048,3,True,True,True,maximize_output,76.02,12.01,12.35,-0.38,True,2,2,native,"stable,volatile",16092.94,15848.8,dexscreener,0.975,1.81,49,False,0.766,web,0,14.39,0.0894,0.64,complex_defi,output,complex,high,0.3131,0.254,0.049,0.0676,0.0281,0.0214,0.0588,0.0988,0.1092
Reputation-Trust,17278,119069,1561231,fill_or_kill,64,2.5671735813872605,3,True,False,False,maximize_output,33.78,28.54,-8.49,46.17,True,3,2,"stable,volatile,native","stable,volatile",260.07,256.01,internal,0.904,2.4,45,False,0.812,mobile,5,0.2,0.0775,0.53,complex_defi,output,complex,medium,0.1469,0.0924,0.106,0.0599,0.036,0.0579,0.1126,0.205,0.1833
Reputation-Trust,12766,77715,1104459,immediate,73,2.768334720048495,3,True,False,True,balanced,21.09,25.66,17.67,35.59,True,1,2,"stable,volatile",native,441.44,444.99,dexscreener,0.933,1.12,32,False,0.884,web,1,0.79,0.1784,0.53,complex_defi,cost,moderate,medium,0.1036,0.132,0.0961,0.0577,0.0571,0.0327,0.1227,0.1979,0.2002
Gas-Optimized,16904,101365,2141885,immediate,67,2.049725008669432,2,False,False,False,minimize_gas,16.27,62.08,5.62,16.03,False,1,1,volatile,native,264.41,257.15,dexscreener,0.855,1.95,39,True,0.874,mobile,1,0.05,0.0201,0.88,swap,cost,simple,medium,0.1134,0.1213,0.2863,0.1419,0.0764,0.0616,0.0546,0.0652,0.0793
Reputation-Trust,11522,125035,1799616,fill_or_kill,64,2.3004357925635457,3,True,True,False,maximize_output,27.86,26.39,7.85,37.89,True,3,1,stable,stable,9235.25,9139.31,internal,0.9,1.45,25,True,0.934,mobile,2,9.66,0.1046,0.47,complex_defi,output,complex,high,0.1634,0.1266,0.1176,0.0911,0.0393,0.0421,0.0875,0.1974,0.135
Surplus-First,10863,262798,3579201,good_til_cancel,84,2.8040694477420094,4,True,False,True,maximize_output,77.53,7.28,14.31,0.88,False,2,1,"stable,volatile","stable,volatile",39186.32,39263.98,coingecko,0.907,2.85,53,False,0.748,telegram,0,42.93,0.1095,0.35,swap,output,moderate,high,0.2443,0.2461,0.0846,0.0624,0.0332,0.0445,0.0455,0.1168,0.1226
Surplus-First,28984,287262,733771,good_til_cancel,79,2.963599512710774,3,True,True,False,maximize_output,78.7,11.27,11.38,-1.36,False,1,1,stable,"stable,volatile",14110.76,14305.27,coingecko,0.901,2.24,31,False,0.718,web,1,31.3,0.2218,0.49,swap,output,moderate,high,0.273,0.2823,0.0878,0.0378,0.0197,0.0246,0.0761,0.1189,0.0798
Surplus-First,29312,108529,2144092,good_til_cancel,61,2.917371076922202,4,False,True,True,maximize_output,70.08,12.08,8.66,9.17,False,1,2,stable,"stable,volatile",11093.76,10920.84,coingecko,0.914,2.04,48,True,0.721,telegram,0,16.22,0.1462,0.53,complex_defi,output,moderate,high,0.2785,0.2314,0.0793,0.0356,0.0277,0.0427,0.0615,0.1205,0.1228
Reputation-Trust,15017,58532,701402,fill_or_kill,54,2.647932467217202,3,True,True,True,balanced,27.27,22.64,11.54,38.55,True,3,1,volatile,native,7084.97,7097.92,coingecko,0.894,2.15,53,True,0.854,mobile,3,10.83,0.1528,0.78,complex_defi,output,complex,high,0.1466,0.1136,0.0994,0.0658,0.0303,0.0466,0.1025,0.2076,0.1876
Reputation-Trust,8910,115532,1031004,good_til_cancel,49,2.724667689799372,3,False,True,True,maximize_output,29.88,25.44,-2.71,47.39,True,1,2,"stable,volatile,native","stable,volatile",5392.31,5332.18,internal,0.963,1.34,50,True,0.877,mobile,3,8.35,0.1549,0.82,complex_defi,output,moderate,high,0.159,0.1001,0.1258,0.0656,0.0673,0.032,0.0834,0.2031,0.1637
Surplus-First,26034,190357,1268136,good_til_cancel,51,2.549801695115113,3,True,False,True,maximize_output,62.95,9.55,6.22,21.28,True,2,2,volatile,native,25815.02,25940.96,coingecko,0.949,2.49,63,False,0.898,mobile,2,55.64,0.2155,0.55,complex_defi,output,moderate,high,0.2624,0.2226,0.0883,0.0545,0.0461,0.0199,0.0679,0.1368,0.1015
Gas-Optimized,19243,257833,4929502,good_til_cancel,71,2.497095952740924,2,True,True,False,minimize_gas,27.68,59.94,13.37,-1.0,True,1,1,volatile,volatile,464.64,465.43,internal,0.808,0.9,21,False,0.878,api,3,0.53,0.1146,0.6,swap,cost,moderate,medium,0.1213,0.0735,0.3265,0.1008,0.1271,0.0523,0.0598,0.0823,0.0564
Reputation-Trust,9183,101399,1683202,good_til_cancel,62,2.415944641549188,2,True,False,True,maximize_output,29.39,19.7,13.32,37.59,True,1,1,"stable,volatile,native",stable,7285.0,7261.88,coingecko,0.951,2.41,41,False,0.835,web,1,12.16,0.1669,0.39,limit_order,output,moderate,high,0.1532,0.1016,0.1165,0.0875,0.0437,0.0358,0.1024,0.167,0.1923
Surplus-First,16261,255928,3470191,good_til_cancel,69,2.526667652202064,4,True,False,True,maximize_output,76.75,11.42,14.01,-2.18,False,2,1,volatile,native,12713.24,12908.3,coingecko,0.977,1.89,58,False,0.723,api,4,17.91,0.1409,0.69,complex_defi,output,moderate,high,0.2924,0.2361,0.0514,0.0681,0.033,0.0217,0.0689,0.1314,0.097
